id,title,subtitle,lat,lng,teaserUrl,category,category_ger,pic_url,loc_admin1,loc_admin2,click,dest_id,dest_name,loc_name,equal to dest,ok
idsbb71c7d9,Bündner Naturmuseum Chur.,Bündner Naturmuseum Chur.,46.8531585,9.4626085,/content/internet/plc/leisure-holidays/de/tagesausflug/rex-buendner-naturmuseum-chur.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/BuendnerNaturmusuem.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Grisons,Imboden District,"{'lat': 46.8531585, 'lng': 9.4626085}",8509180,Felsberg,Felsberg,TRUE,
idsbbf2cb8b,"Museum zu Allerheiligen, Schaffhausen.","Museum zu Allerheiligen, Schaffhausen.",47.6948899,8.633293,/content/internet/plc/leisure-holidays/de/veranstaltungen/museum-allerheiligen.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/Museum_Allerheiligen.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Schaffhausen,Bezirk Schaffhausen,"{'lat': 47.6948899, 'lng': 8.633293}",8503424,Schaffhausen,Schaffhausen,TRUE,
idsbbdb26d0,Homo Migrans. Zwei Millionen Jahre unterwegs.,Homo Migrans. Zwei Millionen Jahre unterwegs.,46.94296765,7.44886965,/content/internet/plc/leisure-holidays/de/tagesausflug/homo-migrans-zweimillionenjahreunterwegs.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/homo_migrans_web4.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Bern-Mittelland District,"{'lat': 46.94296765, 'lng': 7.44886965}",8507000,Bern,Bern,TRUE,
idsbbc3f33e,"Museo d’arte della Svizzera italiana, Lugano.","Museo d’arte della Svizzera italiana, Lugano.",46.0000997,8.9493217,/content/internet/plc/leisure-holidays/de/veranstaltungen/lac-masi-lugano.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/MuseodArteLugano_3200x2400px.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ticino,Lugano District,"{'lat': 46.0000997, 'lng': 8.9493217}",8505399,Sorengo,Sorengo,TRUE,
idsbb80edb9,Pharmaziemuseum der Universität Basel.,Pharmaziemuseum der Universität Basel.,47.5586147,7.5839366,/content/internet/plc/leisure-holidays/de/tagesausflug/pharmaziemuseum.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/pharmaziemuseum.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Basel-City,Basel-Stadt,"{'lat': 47.5586147, 'lng': 7.5839366}",22,Basel,Basel,TRUE,
idsbb8bb014,"Bündner Naturmuseum, Chur.","Bündner Naturmuseum, Chur.",46.8507835,9.5319859,/content/internet/plc/leisure-holidays/de/tagesausflug/tipp-buendner-naturmuseum-chur.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/BuendnerNaturmusuem.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Grisons,Plessur District,"{'lat': 46.8507835, 'lng': 9.5319859}",8509000,Chur,Chur,TRUE,
idsbb30dc5e,Gletschergarten Luzern.,Gletschergarten Luzern.,47.058889,8.310417,/content/internet/plc/leisure-holidays/de/veranstaltungen/gletschergarten-luzern.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/Gletschergarten.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Lucerne,Lucerne-Stadt District,"{'lat': 47.058889, 'lng': 8.310417}",8505000,Luzern,Luzern,TRUE,
idsbb0ae1e6,Kunstmuseum Bern.,Kunstmuseum Bern.,46.9512267,7.4431927,/content/internet/plc/leisure-holidays/de/veranstaltungen/kunstmuseum-bern.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/KunstmuseumBern_3200x2400px_.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Bern-Mittelland District,"{'lat': 46.9512267, 'lng': 7.4431927}",8507000,Bern,Bern,TRUE,
idsbb9d2554,Atlas. Kartographie des Schenkens.,Atlas. Kartographie des Schenkens.,46.5179957,6.6232374,/content/internet/plc/leisure-holidays/de/veranstaltungen/atlas-kartographie-des-schenkens.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/atlas-kartographie-schenkens.JPG/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Vaud,Lausanne District,"{'lat': 46.5179957, 'lng': 6.6232374}",8501120,Lausanne,Lausanne,TRUE,
idsbbe5a36c,Rodin/Giacometti: Eine Gegenüberstellung.,Rodin/Giacometti: Eine Gegenüberstellung.,46.0944857,7.0687831,/content/internet/plc/leisure-holidays/de/veranstaltungen/rodin-giacometti.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/RodinGiacometti.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Valais,Martigny District,"{'lat': 46.0944857, 'lng': 7.0687831}",8570960,"Martigny-Ville, poste",Martigny-Ville,FALSE,
