id,title,subtitle,lat,lng,teaserUrl,category,category_ger,pic_url,loc_name,loc_admin1,loc_admin2,click
idsbbc9a7a6,Klosterführung Engelberg.,Klosterführung Engelberg.,46.82047296,8.40971231,/content/internet/plc/leisure-holidays/de/tagesausflug/klosterfuehrung-engelberg.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Kloster-Engelberg.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Engelberg,Obwalden,Obwalden,"{'lat': 46.82047296, 'lng': 8.40971231}"
idsbbac3352,Mineralbad Andeer.,Mineralbad Andeer.,46.6053136,9.4267007,/content/internet/plc/leisure-holidays/de/tagesausflug/mineralbad-andeer.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Mineralbad_Andeer.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Thusis,Grisons,Hinterrhein District,"{'lat': 46.6053136, 'lng': 9.4267007}"
idsbbfa9ef5,Yogaweg in Sass da Grüm.,Yogaweg in Sass da Grüm.,46.1317144,8.8026254,/content/internet/plc/leisure-holidays/de/tagesausflug/sentiero-dello-yoga-a-sass-da-gruem.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/sentiero_yoga_sassdagruem.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ascona,Ticino,Locarno District,"{'lat': 46.1317144, 'lng': 8.8026254}"
idsbbced064,Naturkräfte und Adernsteine.,Naturkräfte und Adernsteine.,47.0579411,8.6667457,/content/internet/plc/leisure-holidays/de/tagesausflug/naturkraefte-und-adernsteine.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/NaturkraefteAdernsteine.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Schwyz,Schwyz,Bezirk Schwyz,"{'lat': 47.0579411, 'lng': 8.6667457}"
idsbbe2a084,Wellness und Erlebnisbad eau-là-là.,Wellness und Erlebnisbad eau-là-là.,46.7961744,9.8237266,/content/internet/plc/leisure-holidays/de/tagesausflug/wellness-und-erlebnisbad-eau-la-la.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/eau-la-la_halbdunkelpoolgruen.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Davos,Grisons,Praettigau/Davos District,"{'lat': 46.7961744, 'lng': 9.8237266}"
idsbb34ab86,Ermitage – ein mystischer Ort.,Ermitage – ein mystischer Ort.,47.4931125,7.6202048,/content/internet/plc/leisure-holidays/de/tagesausflug/ermitage-ein-mystischer-ort.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0052731.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Arlesheim,Basel-Landschaft,Bezirk Arlesheim,"{'lat': 47.4931125, 'lng': 7.6202048}"
idsbbd1a552,Les Bains de Val-d’Illiez.,Les Bains de Val-d’Illiez.,46.2073753,6.8988012,/content/internet/plc/leisure-holidays/de/tagesausflug/les-bains-de-valdilliez.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Les-Bains-ValdIlliez.JPG/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Troistorrents,Valais,Monthey District,"{'lat': 46.2073753, 'lng': 6.8988012}"
idsbba02aec,Kloster Kappel.,Kloster Kappel.,47.2288482,8.5251335,/content/internet/plc/leisure-holidays/de/tagesausflug/kloster-kappel.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0052819.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Hausen am Albis / Hausen (Dorf),Zurich,Bezirk Affoltern,"{'lat': 47.2288482, 'lng': 8.5251335}"
idsbb1833fc,Kneipperlebnis in Flühli-Sörenberg.,Kneipperlebnis in Flühli-Sörenberg.,46.8840067,8.01564,/content/internet/plc/leisure-holidays/de/tagesausflug/kneipperlebnis-fluehli-soerenberg.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/kneipperlebnis_soerenbergkeyvisual.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Fluehli,Lucerne,Entlebuch District,"{'lat': 46.8840067, 'lng': 8.01564}"
idsbb5f241d,Heiliger Berg Madonna del Sasso.,Heiliger Berg Madonna del Sasso.,46.1778147,8.7956508,/content/internet/plc/leisure-holidays/de/tagesausflug/heiliger-berg-madonna-del-sasso.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/sacro_monte_madonnadelsasso1keyvisual.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Locarno,Ticino,Locarno District,"{'lat': 46.1778147, 'lng': 8.7956508}"
idsbbf2c339,"Villa dei Cedri mit Park, Bellinzona.","Villa dei Cedri mit Park, Bellinzona.",46.2009597,8.9825105,/content/internet/plc/leisure-holidays/de/tagesausflug/villa-dei-cedri-parco.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/la_villa_dei_cedrisuoparco.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Sementina,Ticino,Bellinzona District,"{'lat': 46.2009597, 'lng': 8.9825105}"
idsbb43af12,KneippGarten Gisikon.,KneippGarten Gisikon.,47.12919163,8.40421915,/content/internet/plc/leisure-holidays/de/tagesausflug/kneippgarten-gisikon.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0052858.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Root,Lucerne,Lucerne-Land District,"{'lat': 47.12919163, 'lng': 8.40421915}"
idsbbd2ca0c,Wellness auf dem Stoos.,Wellness auf dem Stoos.,46.9769494,8.6643588,/content/internet/plc/leisure-holidays/de/tagesausflug/wellness-auf-dem-stoos.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/hotel_aussenansichtsommercmyk.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ibach,Schwyz,Bezirk Schwyz,"{'lat': 46.9769494, 'lng': 8.6643588}"
idsbb534969,Hammam & Spa Oktogon Bern.,Hammam & Spa Oktogon Bern.,46.9453661,7.4450827,/content/internet/plc/leisure-holidays/de/tagesausflug/hammam-spa-oktogon-bern.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Hammam-Oktogon-Bern.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Bern,Bern-Mittelland District,"{'lat': 46.9453661, 'lng': 7.4450827}"
idsbb46ee60,Kreativer DenkWeg im Glarnerland.,Kreativer DenkWeg im Glarnerland.,47.122224,9.12349597,/content/internet/plc/leisure-holidays/de/tagesausflug/kreativer-denkweg-im-glarnerland.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0052829.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Weesen,Saint Gallen,Wahlkreis See-Gaster,"{'lat': 47.122224, 'lng': 9.12349597}"
idsbb43e2f3,Kneipp-Anlage Saas-Fee.,Kneipp-Anlage Saas-Fee.,46.10216144,7.92693615,/content/internet/plc/leisure-holidays/de/tagesausflug/kneipp-anlage-saas-fee.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/KneippAnlageSaasFee.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Saas-Fee,Valais,Visp District,"{'lat': 46.10216144, 'lng': 7.92693615}"
